Replicate,Dataset Id,Strain ,Media,Sample Barcodes,Maximum Volume Point Volume (mL),Time (hours),Maximum Slope,"Max Slope Window, Start Volume (hours)",Time (hours),"Max Slope Window, End Volume (mL)",Time (hours),Lag Time (Minutes),Area under the curve,Stationary Phase Start Time (Minutes)
3,64040,Y2084,2016 ASGH + 1% DMSO,G00025240,55.35180,48.000,0.094392 mL/minute,30.14000,11.667,39.58000,13.333,380,123910.2,967
3,64040,Y2092,2016 ASGH + 1% DMSO,G00025242,55.57080,48.000,0.097468 mL/minute,30.12000,10.667,39.87000,12.333,330,127361.716,901
3,64040,Y2092,2016 ASGH + 18.75 mg/L protodioscin ,G00025246,53.24800,48.000,0.0624 mL/minute,34.69000,41.000,40.93000,42.667,1904,40356.16,2757
3,64040,Y2084,YPX,G00025248,22.27320,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,45898.938,1183
3,64040,Y2060 ,YPX,G00025249,2.27340,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,6451.404,213
3,64040,Y2092,YPX,G00025250,20.55400,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,37971.58,1586
3,64040,Y2060,2016 ASGH + 1% DMSO,G00025241,55.30800,48.000,0.080448 mL/minute,28.28000,11.667,36.33000,13.333,348,122790.883,1035
3,64040,Y2084,2016 ASGH + 18.75 mg/L protodioscin ,G00025244,5.40160,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,8053.448,2879
3,64040,Y2060 ,2016 ASGH + 18.75 mg/L protodioscin ,G00025245,54.98660,48.000,0.067942 mL/minute,25.83000,11.667,32.62000,13.333,319,119920.162,1129
2,63860,Y2084,2016 ASGH + 1% DMSO,G00025252,56.51100,48.000,0.09729 mL/minute,29.64000,11.500,39.37000,13.167,385,126478.449,966
2,63860,Y2084,2016 ASGH + 18.75 mg/L protodioscin ,G00025256,3.84020,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,9710.22,470
2,63860,Y2092,2016 ASGH + 18.75 mg/L protodioscin ,G00025258,41.68320,48.000,0.077792 mL/minute,33.16000,46.167,40.93000,47.833,2343,23464.896,2879
2,63860,Y2092,YPX,G00025262,21.54300,47.833,Low CO2,Low CO2,,Low CO2,,Low CO2,39912.815,1614
2,63860,Y2060,YPX,G00025261,3.78900,47.833,Low CO2,Low CO2,,Low CO2,,Low CO2,9473.342,424
2,63860,Y2060,2016 ASGH + 1% DMSO,G00025253,56.10410,48.000,0.080448 mL/minute,31.47000,12.500,39.51000,14.167,358,123810.1,1056
2,63860,Y2092,2016 ASGH + 1% DMSO,G00025254,62.59676,48.000,0.117256895 mL/minute,34.30000,10.000,46.02000,11.667,307,145439.462,841
2,63860,Y2060,2016 ASGH + 18.75 mg/L protodioscin ,G00025257,55.57740,48.000,0.070474 mL/minute,28.99000,12.500,36.04000,14.167,338,121166.961,1127
2,63860,Y2084,YPX,G00025260,22.97700,47.833,Low CO2,Low CO2,,Low CO2,,Low CO2,48298.275,1164
1,63600,Y2084,2016 ASGH + 1% DMSO,G00025151,55.35180,48.000,0.093978 mL/minute,25.92000,10.667,35.31000,12.333,364,123503.652,953
1,63600,Y2092,2016 ASGH + 1% DMSO,G00025153,57.30189,48.000,0.09303651 mL/minute,28.97000,11.333,38.27000,13.000,368,126577.875,984
1,63600,Y2084,2016 ASGH + 18.75 mg/L protodioscin ,G00025155,4.81080,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,3542.268,2879
1,63600,Y2092,2016 ASGH + 18.75 mg/L protodioscin ,G00025157,47.92320,48.000,0.065312 mL/minute,32.74000,44.000,39.27000,45.667,2138,24835.616,2872
1,63600,Y2084,YPX,G00025159,24.59160,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,47751.381,1274
1,63600,Y2060,2016 ASGH + 1% DMSO,G00025152,53.67390,48.000,0.075001 mL/minute,28.20000,13.667,35.70000,15.333,444,113001.157,1159
1,63600,Y2060,2016 ASGH + 18.75 mg/L protodioscin ,G00025156,53.63620,48.000,0.068364 mL/minute,26.38000,13.500,33.21000,15.167,424,112306.649,1208
1,63600,Y2060,YPX,G00025160,2.35760,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,4175.057,2779
1,63600,Y2092,YPX,G00025161,22.10200,48.000,Low CO2,Low CO2,,Low CO2,,Low CO2,34253.585,1792
